SMARCC2 ENSG00000139613
HSF1 ENSG00000185122
SMARCC1 ENSG00000173473
NELFE ENSMUSG00000024369
POLR3G ENSG00000113356
MAFK ENSG00000198517,ENSMUSG00000018143
POLR3A ENSG00000148606
CCNT2 ENSG00000082258
MAFF ENSG00000185022
ZNF143 ENSG00000166478
ZNF384 ENSG00000126746,ENSMUSG00000038346
BHLHE40 ENSG00000134107,ENSMUSG00000030103
SIX5 ENSG00000177045
SMARCB1 ENSG00000099956,ENSG00000275837
eGFP-GATA2 ENSG00000179348
BDP1 ENSG00000145734,ENSG00000273873
MYC ENSG00000136997,ENSMUSG00000022346
MYB ENSMUSG00000019982
SETDB1 ENSG00000143379
BRCA1 ENSG00000012048
TRIM28 ENSG00000130726
SP1 ENSG00000185591
SP2 ENSG00000167182
ATF1 ENSG00000123268
SP4 ENSG00000105866
CREB1 ENSG00000118260
NR2C2 ENSG00000177463
GATA2 ENSG00000179348,ENSMUSG00000015053
GATA3 ENSG00000107485
GATA1 ENSG00000102145,ENSMUSG00000031162
ZC3H11A ENSMUSG00000102976
RFX5 ENSG00000143390
WHSC1 ENSG00000109685
MAZ 
eGFP-NR4A1 ENSG00000123358
TCF7L2 ENSG00000148737
ZKSCAN1 ENSG00000106261,ENSMUSG00000029729
RUNX3 ENSG00000020633
FOXA2 ENSG00000125798
eGFP-JUNB ENSG00000171223
ELK4 ENSG00000158711
ZNF274 ENSG00000171606
BCL3 ENSG00000069399
CTBP2 ENSG00000175029
MTA3 ENSG00000057935
RNF2 ENSG00000121481
KDM5A ENSG00000073614
KDM5B ENSG00000117139
FOXP2 ENSG00000128573
BATF ENSG00000156127
ZNF217 ENSG00000171940
PRDM1 ENSG00000057657
HMGN3 ENSG00000118418
KAT2B 
KAT2A ,ENSG00000108773
GTF3C2 ENSG00000115207
ELK1 ENSG00000126767
RBBP5 ENSG00000117222
POLR2AphosphoS5 ENSG00000181222,ENSMUSG00000005198
ESRRA ENSG00000173153
XRCC4 ENSG00000152422
POLR2AphosphoS2 ENSG00000181222,ENSMUSG00000005198
CHD1 ENSG00000153922,ENSMUSG00000023852
FOXA1 ENSG00000129514
CHD2 
SAP30 ENSG00000164105
CHD4 ENSG00000111642
CHD7 ENSG00000171316
IKZF1 ENSG00000185811
BACH1 ENSG00000156273
EGR1 ENSG00000120738
JUN ENSG00000177606,ENSMUSG00000052684
GTF2B ENSG00000137947
eGFP-JUND ENSG00000130522
NFE2 ENSG00000123405
ZBTB33 ENSG00000177485
ZZZ3 ENSG00000036549
TCF3 ENSG00000071564
FOS ENSG00000170345
TCF12 ENSG00000140262
eGFP-FOS ENSG00000170345
PAX5 ENSG00000196092,ENSMUSG00000014030
CUX1 ENSG00000257923
SIRT6 ENSG00000077463
POLR2A ENSG00000181222,ENSMUSG00000005198
BRF2 ENSG00000104221
NANOG ENSG00000111704
BRF1 ENSG00000185024
ZEB1 ENSG00000148516
ZMIZ1 ENSG00000108175,ENSMUSG00000007817
TAF7 ENSG00000178913
IRF1 ENSG00000125347
TAF1 ENSG00000147133
ESR1 ENSG00000091831
TBP ENSG00000112592,ENSMUSG00000014767
HNF4G ENSG00000164749
HNF4A ENSG00000101076
MEF2C ENSG00000081189
MEF2A ENSG00000068305
CTCF ENSG00000102974,ENSMUSG00000005698
PHF8 ENSG00000172943
CREBBP ENSG00000005339
HA-E2F1 ENSG00000101412
HDAC1 ENSG00000116478
KDM1A ENSG00000004487
HDAC2 ENSG00000196591
YY1 ENSG00000100811
HDAC6 ENSG00000094631
RCOR1 ,ENSG00000089902
FOXM1 ENSG00000111206
CBX8 ENSG00000141570
CBX3 ENSG00000122565
CBX2 ENSG00000173894
NCOR1 ENSG00000141027
SPI1 ENSG00000066336
STAT3 ENSG00000168610
STAT2 ENSG00000170581
STAT1 ENSG00000115415
SMC3 ENSG00000108055,ENSMUSG00000024974
NR2F2 ENSG00000185551
USF2 ENSG00000105698,ENSMUSG00000058239
USF1 ENSG00000158773
FOSL1 ENSG00000175592
FOSL2 ENSG00000075426
PML ENSG00000140464
IRF3 ENSG00000126456
SUPT20H ENSG00000102710
SRF ENSG00000112658
THAP1 ENSG00000131931
ZNF263 ENSG00000006194
RXRA ENSG00000186350
MAX ,ENSG00000125952
EP300 ENSG00000100393,ENSMUSG00000055024
RELA ENSG00000173039
eGFP-HDAC8 ENSG00000147099
TBL1XR1 ENSG00000177565
IRF4 ENSG00000137265
SREBF2 ENSG00000198911
STAT5A ENSG00000126561
SREBF1 ENSG00000072310
NFATC1 ENSG00000131196
GABPA ENSG00000154727,ENSMUSG00000008976
NRF1 ENSG00000106459
BCL11A ENSG00000119866
JUND ENSG00000130522,ENSMUSG00000071076
WRNIP1 ENSG00000124535
NFYB ENSG00000120837
NFYA ENSG00000001167
EZH2 ENSG00000106462
ELF1 ENSG00000120690
TAL1 ENSG00000162367,ENSMUSG00000028717
MYBL2 ENSG00000101057
SMARCA4 ENSG00000127616
TEAD4 ENSG00000197905
CEBPB ENSG00000172216
HCFC1 ENSG00000172534,ENSMUSG00000031386
CEBPD ENSG00000221869
TFAP2A ENSG00000137203
TFAP2C ENSG00000087510
UBTF ,ENSG00000108312
KDM4A ENSG00000066135
ETS1 ENSG00000134954,ENSMUSG00000032035
SUZ12 ENSG00000178691
SIN3A ENSG00000169375,ENSMUSG00000042557
NR3C1 ENSG00000113580
ZBTB7A ENSG00000178951
RAD21 ENSG00000164754,ENSMUSG00000022314
FLI1 ENSMUSG00000016087
REST ENSG00000084093
EBF1 ENSG00000164330
PBX3 ENSG00000167081
NFIC ENSG00000141905
E2F6 ENSG00000169016
E2F4 ENSG00000205250,ENSMUSG00000014859
E2F1 ENSG00000101412
MXI1 ENSG00000119950,ENSMUSG00000025025
CTCFL ENSG00000124092
MBD4 ENSG00000129071
ARID3A ENSG00000116017
POU2F2 ENSG00000028277
ATF3 ENSG00000162772
ATF2 ENSG00000115966
